cus_Gender,cus_MartialTypeId,cus_Dependants,cus_CurrenResTypeId,cus_CurrenStyYear,cus_Age,IndustryType,CustomerProfile,CustomerSegment,app_CustLoadTypeId,MarketNoofYearsinBusiness,app_CustAssetValue,app_CustProductCatTypeId,app_CustBrandTypeId,app_CustTenure,app_CustInstalCount,app_CustChasAsset,app_CustChasInitial,app_CustChasFinance,app_CustFinanInterest,app_CustEMI,app_CustGrossLoan,app_CustViaIncomEstIncPm,app_CustViaExpTotExpense,app_CustViaGrossSurplus,app_CustUVAge,avg_clobal,Score,AnotherScore,Loan_to_Value,Collateral,Overdue,Banking,Earning Potential,Label
M,2750,0,2755,1,31,1783,2693,2695,568,,2693161,783,564,48,46,2693161,52161,2641000,6.04,522676.35,24043112,877500,434500,443000,0,522676.35,,,0,0,100,0,80,Pay
M,2750,0,2755,10,,605,2693,2695,566,,3364075,527,564,60,58,3364075,0,3364075,5.52,148046.58,8586702,786500,353125,433375,,148046.58,572,914,0,40,100,-50,80,Pay
M,2750,2,2755,23,33,605,2693,2695,566,23,2253350,1672,564,48,47,2253350,3350,2250000,5.89,59764.1,2808913,280000,125500,154500,,59764.1,788,693,0,0,100,-50,0,Pay
M,2750,3,2755,20,,605,2693,2695,568,,3299051,528,1433,48,46,3299051,399051,2900000,6.04,78291.51,3601410,273000,29680,243320,,78291.51,1,776,0,0,100,100,80,Pay
M,2750,3,2755,8,32,1783,2693,2695,566,8,3097549,527,564,60,58,3097549,0,3097549,6.11,70509.24,4089536,520000,265000,255000,,70509.24,744,724,0,40,0,50,0,Pay
M,2750,4,2755,25,57,876,2693,2695,566,,3715830,1672,564,52,50,3715830,565830,3150000,5.48,157471.49,7873575,500000,180357,319643,0,157471.49,,,0,0,100,0,80,Pay
M,2750,,2755,,,605,2692,2701,566,10,3411764,527,564,36,34,3411764,341764,3070000,5.7,634427.82,21570546,4290000,348125,3941875,,634427.82,,,0,0,100,100,0,Pay
M,2750,0,2755,1,31,1783,2693,2695,568,,3255965,783,564,48,46,3255965,965,3255000,5.89,410646.32,18889731,1072500,447000,625500,0,410646.32,,,0,0,0,0,80,Pay
M,2751,3,2755,22,,605,2693,2695,566,,2746748,528,740,42,40,2746748,846748,1900000,5.69,56978.21,2279128,360000,66000,294000,0,56978.21,695,658,100,0,100,0,80,Pay
M,2750,0,2755,15,,605,2693,2695,566,,400000,527,564,12,11,400000,176000,224000,7.7,21992.33,241916,420000,226250,193750,1,21992.33,602,730,100,0,0,100,80,Pay
M,2750,4,2755,10,,605,2693,2695,566,,1500000,527,564,12,11,1500000,1376000,124000,7.66,12196.89,134166,87500,34687,52813,1,12196.89,562,780,100,120,0,100,80,Pay
M,2750,0,2755,20,,605,2693,2695,568,,2600000,528,1639,25,24,2600000,1400000,1200000,8.42,59476.37,1427433,1912500,127580,1784920,3,59476.37,683,688,100,120,0,0,80,Pay
M,2750,0,2755,30,,605,2693,2695,566,,1500000,527,564,36,35,1500000,225000,1275000,8.61,46282.25,1619879,525000,268525,256475,4,46282.25,733,697,0,0,0,100,80,Pay
M,2750,4,2755,30,,605,2693,2695,566,,2400000,527,564,48,47,2400000,400000,2000000,8.21,57231.57,2689884,155000,44000,111000,3,57231.57,701,645,0,0,100,100,80,Pay
M,2750,2,2755,25,,605,2693,2695,566,,2200000,527,564,48,47,2200000,0,1134500,6.34,30276.3,1422986,360000,114600,245400,2,30276.3,,,100,0,100,100,80,Pay
M,2750,4,2755,10,46,1783,2693,2695,566,10,4500000,528,744,36,35,4500000,1000000,3500000,7.5,123989.79,4339643,1500000,288000,1212000,5,123989.79,699,721,75,0,100,100,80,Pay
F,2750,4,2755,40,42,876,2692,2701,566,25,1400000,783,564,36,35,1400000,360000,1040000,8.6,38105.02,1333676,232500,52400,180100,4,38105.02,,,100,0,0,-50,80,Pay
F,2750,3,2755,20,45,604,2693,2695,566,5,1600000,783,564,29,28,1600000,320000,1280000,7.93,55081.09,1542271,750000,223500,526500,4,55081.09,696,669,75,0,100,-50,80,Pay
M,2750,3,2755,20,37,604,2693,2695,568,5,1600000,783,564,29,28,1600000,320000,1280000,7.93,54936.76,1538229,1000000,114250,885750,4,54936.76,,,75,0,100,50,80,Pay
M,2750,0,2755,5,21,1783,2693,2695,568,,3500000,528,1760,24,23,3500000,2200000,1300000,7.85,65426.84,1504817,300000,41857,258143,4,65426.84,,,100,120,0,50,80,Pay
M,2750,0,2755,5,21,1783,2693,2695,568,,3500000,528,1659,24,23,3500000,2200000,1300000,7.85,65426.84,1504817,300000,41857,258143,4,65426.84,,,100,120,100,100,80,Pay
F,2750,0,2755,20,,605,2693,2695,566,,900000,528,739,12,11,900000,764000,136000,7.66,13371.37,147085,227500,62187,165313,20,13371.37,,,100,120,100,-50,80,Pay
M,2750,2,2755,3,26,1783,2693,2695,566,2,2200000,528,564,48,47,2200000,440000,1760000,10.06,52917.74,2487134,292500,128000,164500,3,52917.74,,,75,0,100,-50,80,Pay
M,2750,2,2755,20,33,605,2693,2695,566,5,1100000,528,739,30,29,1100000,250000,850000,7.94,35375.09,1025878,750000,121250,628750,3,35375.09,657,670,75,0,0,0,80,Pay
M,2750,4,2755,4,,605,2693,2695,566,,1000000,528,744,12,11,1000000,857000,143000,7.66,14056.48,154621,175000,39375,135625,2,14056.48,602,622,100,120,0,0,80,Pay
M,2750,0,2755,15,,605,2693,2695,566,,1200000,528,1638,12,11,1200000,302000,898000,8.5,88636.6,975003,360000,183000,177000,1,88636.6,706,645,100,0,100,50,80,Pay
M,2750,3,2755,12,,605,2693,2695,568,,3500000,528,564,24,23,3500000,1500000,2000000,9.25,103924.49,2390263,420000,110933,309067,7,103924.49,699,606,100,0,0,50,80,Pay
M,2750,1,2755,6,49,605,2693,2695,566,,3000000,528,1778,24,23,3000000,750000,2250000,8.39,114272.78,2628274,560000,77000,483000,7,114272.78,,,75,0,0,-50,80,Pay
M,2750,4,2755,30,,605,2693,2695,566,,3400000,528,904,24,22,3400000,900000,2500000,7.1,131080.74,2883776,400000,51200,348800,4,131080.74,747,800,100,0,100,100,80,Pay
M,2750,4,2755,30,,605,2693,2695,566,,1800000,528,744,24,22,1800000,400000,1400000,7.1,73766.48,1622863,250000,56267,193733,8,73766.48,747,800,75,0,100,0,80,Pay
F,2750,1,2755,5,,605,2693,2695,566,,800000,783,564,12,11,800000,621000,179000,7.9,17619.08,193810,9240000,3198000,6042000,2,17619.08,1,737,100,120,100,-50,80,Pay
M,2750,2,2755,15,50,605,2692,2701,566,,8500000,527,564,24,23,8500000,6500000,2000000,8.4,101596.7,2336724,825000,134125,690875,8,101596.7,,,100,120,100,0,80,Pay
M,2750,3,2755,25,,605,2693,2695,566,,2500000,527,564,36,35,2500000,700000,1800000,8.03,64690.3,2264161,156000,50000,106000,4,64690.3,749,618,100,0,0,0,80,Pay
M,2750,1,2755,15,33,876,2693,2695,566,3,3800000,527,565,36,35,3800000,2700000,1100000,7.18,38460.15,1346105,323400,213200,110200,7,38460.15,,,100,120,0,-50,0,Pay
M,2750,4,2755,25,41,605,2693,2695,569,,2700000,528,904,25,24,2700000,700000,2000000,6.75,95081.54,2281957,797500,32767,764733,4,95081.54,,,100,0,0,-50,80,Pay
M,2750,0,2755,10,,605,2693,2695,566,,3300000,527,564,60,58,3300000,,2585000,7.2,60628.33,3516443,432000,81285,350715,2,60628.33,713,601,75,0,100,100,80,Pay
M,2750,0,2755,10,58,1783,2693,2696,568,,3200000,527,564,36,35,3200000,1200000,2000000,8.05,72564.17,2539746,320000,122500,197500,2,72564.17,694,616,100,0,100,0,80,Pay
M,2750,4,2755,25,,605,2693,2695,566,,6800000,528,1377,25,24,6800000,4700000,2100000,7.86,102906.07,2469746,212500,38825,173675,7,102906.07,1,616,100,120,100,100,80,Pay
M,2750,3,2755,15,,605,2693,2695,566,,1200000,527,564,12,11,1200000,919620,280380,7.8,27538,302918,882000,592500,289500,2,27538,613,711,100,120,0,50,80,Pay
M,2750,3,2755,42,50,605,2693,2695,568,5,4800000,528,744,30,28,4800000,1300000,3500000,7.35,149144.09,4176035,350000,49333,300667,3,149144.09,,,100,0,100,100,0,Pay
